iter	Passed	Remaining
1254	207318	618652
1255	207438	618350
1256	207561	618060
1257	207697	617808
1258	207836	617566
1259	207959	617278
1260	208084	616994
1261	208206	616700
1262	208324	616395
1263	208450	616116
1264	208569	615816
1265	208693	615530
1266	208823	615263
1267	208960	615016
1268	209087	614739
1269	209214	614464
1270	209341	614189
1271	209472	613925
1272	209596	613642
1273	209723	613366
1274	209847	613084
1275	209987	612848
1276	210108	612556
1277	210232	612272
1278	210351	611977
1279	210470	611680
1280	210596	611402
1281	210713	611100
1282	210828	610795
1283	210947	610498
1284	211084	610255
1285	211212	609986
1286	211326	609678
1287	211462	609431
1288	211628	609273
1289	211760	609015
1290	211876	608714
1291	212002	608439
1292	212132	608177
1293	212290	607997
1294	212449	607819
1295	212616	607663
1296	212775	607484
1297	212939	607321
1298	213108	607170
1299	213283	607037
1300	213446	606871
1301	213616	606722
1302	213774	606541
1303	213967	606460
1304	214153	606357
1305	214346	606276
1306	214529	606165
1307	214708	606043
1308	214884	605912
1309	215060	605780
1310	215230	605634
1311	215407	605505
1312	215593	605403
1313	215776	605291
1314	215959	605180
1315	216141	605064
1316	216324	604952
1317	216508	604844
1318	216684	604711
1319	216855	604566
1320	217024	604415
1321	217195	604271
1322	217354	604090
1323	217520	603931
1324	217695	603795
1325	217858	603628
1326	218020	603459
1327	218192	603316
1328	218373	603197
1329	218552	603073
1330	218744	602984
1331	218915	602840
1332	219092	602710
1333	219275	602596
1334	219468	602509
1335	219658	602415
1336	219837	602291
1337	220017	602170
1338	220197	602048
1339	220383	601942
1340	220568	601834
1341	220746	601707
1342	220933	601603
1343	221100	601445
1344	221284	601334
1345	221469	601225
1346	221667	601153
1347	221846	601025
1348	222048	600963
1349	222223	600826
1350	222418	600745
1351	222593	600606
1352	222707	600305
1353	222820	600001
1354	222936	599706
1355	223049	599404
1356	223172	599128
1357	223293	598846
1358	223424	598593
1359	223547	598318
1360	223709	598147
1361	223908	598076
1362	224097	597976
1363	224271	597838
1364	224462	597745
1365	224644	597625
1366	224830	597520
1367	225015	597408
1368	225195	597285
1369	225377	597167
1370	225563	597059
1371	225765	596995
1372	225944	596868
1373	226085	596641
1374	226223	596407
1375	226395	596262
1376	226565	596112
1377	226743	595983
1378	226908	595820
1379	227081	595677
1380	227257	595544
1381	227419	595371
1382	227589	595221
1383	227705	594929
1384	227833	594670
1385	227958	594403
1386	228082	594132
1387	228225	593911
1388	228347	593638
1389	228534	593531
1390	228718	593417
1391	228905	593313
1392	229084	593186
1393	229264	593060
1394	229446	592943
1395	229620	592803
1396	229794	592663
1397	229969	592524
1398	230142	592383
1399	230330	592278
1400	230505	592139
1401	230684	592013
1402	230869	591900
1403	231062	591810
1404	231241	591681
1405	231404	591513
1406	231568	591347
1407	231730	591175
1408	231907	591042
1409	232085	590911
1410	232254	590760
1411	232419	590594
1412	232581	590424
1413	232721	590196
1414	232856	589959
1415	233025	589805
1416	233207	589683
1417	233383	589548
1418	233575	589452
1419	233755	589328
1420	233919	589161
1421	234086	589002
1422	234258	588856
1423	234427	588703
1424	234596	588549
1425	234771	588409
1426	234964	588317
1427	235153	588213
1428	235338	588099
1429	235527	587996
1430	235716	587892
1431	235892	587754
1432	236064	587607
1433	236256	587512
1434	236433	587377
1435	236608	587238
1436	236787	587107
1437	236968	586983
1438	237155	586873
1439	237344	586769
1440	237527	586649
1441	237702	586509
1442	237830	586251
1443	237949	585975
1444	238064	585688
1445	238180	585402
1446	238299	585126
1447	238422	584858
1448	238538	584575
1449	238660	584305
1450	238782	584038
1451	238899	583757
1452	239014	583472
1453	239129	583185
1454	239251	582917
1455	239377	582660
1456	239502	582399
1457	239633	582155
1458	239762	581904
1459	239881	581629
1460	240020	581405
1461	240151	581159
1462	240289	580932
1463	240422	580691
1464	240535	580404
1465	240657	580137
1466	240809	579945
1467	240987	579815
1468	241140	579623
1469	241300	579449
1470	241454	579262
1471	241606	579066
1472	241780	578926
1473	241939	578751
1474	242097	578572
1475	242262	578409
1476	242431	578258
1477	242595	578093
1478	242757	577923
1479	242913	577741
1480	243078	577577
1481	243244	577418
1482	243413	577264
1483	243581	577111
1484	243761	576983
1485	243933	576839
1486	244101	576684
1487	244273	576537
1488	244441	576382
1489	244612	576234
1490	244769	576053
